id,label,pageranks,twitter_score,audience_sw_apr_june24,Hard News,topic_niv1,clusters_legend,date_fusion,SPEL,CPPAP,ORG,PROPR,media_category,lrecon_23_mean,antielite_salience_23_mean,eu_position_23_mean,refugees_23_mean,galtan_23_mean
361,Sports.fr,0.00069,"0,149977116",35690000,FALSE,Sport,PQR - Sport - Météo,,TRUE,FALSE,|||,||||,NaN,5.21,6.723,4.03,6.094,5.795
362,Omertamedia.fr,0.000371,"0,14990764",105288,TRUE,Actu,Droite - Extrême Droite,2022,TRUE,TRUE,|||,||||,,,,,,
364,Aufeminin.com,0.000767,"0,149880859",23520000,FALSE,Lifestyle,Lifestyle – Santé – TV,1999,TRUE,FALSE,|||,||||,Leisure and Health,5.039,6.335,4.457,6.518,5.374
365,Lejdc.fr,0.001379,"0,148803479",3154000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,Groupe La Montagne|||,Fondation Varenne||||,Hyper-local (East),5.14,5.327,5.73,7.39,4.726
366,Voltairenet.org,0.000367,"0,147801537",2211000,TRUE,Actu,Extrême Droite - Réinformation,2012,FALSE,FALSE,|||,||||,Right Wing,5.868,8.389,1.653,4.153,7.832
367,Maligue2.fr,0.000581,"0,147789276",2609000,FALSE,Sport,PQR - Sport - Météo,,TRUE,FALSE,|||,||||,,,,,,
368,Gamekult.com,0.000921,"0,147529413",3119000,FALSE,Jeux_Vidéo,Economique - Tech - Gaming,2000,TRUE,FALSE,|||,||||,,,,,,
369,Olympique-Et-Lyonnais.com,0.00094,"0,145264985",5692000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
370,Lasueur.com,0.000258,"0,144672752",5348000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
371,Lyonne.fr,0.001192,"0,144503155",3578000,TRUE,Actu_Locale,PQR - Sport - Météo,1944,TRUE,TRUE,Groupe La Montagne|||,Fondation Varenne||||,Hyper-local (East),5.543,5.457,5.435,7.079,5.374
372,Radioj.fr,0.001042,"0,142083644",69167,TRUE,Actu,Lifestyle – Santé – TV,1984,FALSE,FALSE,|||,||||,,,,,,
373,Goal.com,0.000989,"0,142025299",283700000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
374,Moneyvox.fr,0.001158,"0,141792526",12630000,TRUE,Economie,Economique - Tech - Gaming,2003,FALSE,FALSE,|||,||||,IT & Consumer,5.552,5.72,5.191,6.79,5.441
375,Loikleflochprigent.fr,0.00026,"0,141715295",5000,TRUE,Actu,Droite - Extrême Droite,2020,FALSE,FALSE,|||,||||,,,,,,
376,Revue-Ballast.fr,0.000463,"0,140133725",60426,TRUE,Actu,Gauche - Extrême Gauche,2014,FALSE,FALSE,|||,||||,NaN,3.322,7.133,4.139,7.251,3.518
377,Lebleudumiroir.fr,0.000297,"0,139426908",126094,FALSE,Culture,Gauche - Extrême Gauche,,FALSE,FALSE,|||,||||,,,,,,
378,Rue89Lyon.fr,0.000465,"0,139172583",342580,TRUE,Actu_Locale,Divers,2011,TRUE,TRUE,|||,||||,Left Wing,4.031,5.84,5.476,7.672,3.62
379,Dragonballsuper-France.fr,0.000274,"0,13872352",843217,FALSE,BD,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,,,,,,
380,Rollingstone.fr,0.000506,"0,138636192",954934,FALSE,Culture,Lifestyle – Santé – TV,,TRUE,TRUE,|||,||||,,,,,,
381,Latribunedelart.com,0.000427,"0,138514291",218011,FALSE,Culture,PQR - Sport - Météo,,TRUE,TRUE,|||,||||,NaN,5.819,5.995,4.724,6.424,6.043
382,Autoplus.fr,0.001353,"0,138347924",15700000,FALSE,Transports,Economique - Tech - Gaming,1988,TRUE,FALSE,|||,||||,Leisure and Health,5.594,6.812,3.718,5.793,6.415
383,Tvadp.fr,0.000262,"0,137320449",33301,TRUE,Actu,Extrême Droite - Réinformation,2021,FALSE,FALSE,|||,||||,,,,,,
384,Canardpc.com,0.000597,"0,136627994",1485000,FALSE,Technologie,Economique - Tech - Gaming,2003,FALSE,FALSE,|||,||||,,,,,,
385,Tennisactu.net,0.000389,"0,136479453",1890000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
386,Lemondeinformatique.fr,0.000959,"0,136305066",1362000,TRUE,Technologie,Economique - Tech - Gaming,1981,TRUE,FALSE,|||,||||,NaN,5.803,4.478,6.679,7.761,4.86
388,Tribunejuive.info,0.000398,"0,135533375",580337,TRUE,Actu,Droite - Extrême Droite,1968,FALSE,FALSE,|||,||||,NaN,5.96,7.096,3.242,5.215,7.058
389,Lemediasocial.fr,0.000302,"0,135482541",185275,TRUE,Actu,Divers,1983,TRUE,TRUE,|||,||||,NaN,5.01,4.584,6.635,8.017,4.094
390,Sport.fr,0.000393,"0,134657688",5961000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
391,Famillechretienne.fr,0.000567,"0,134304666",1430000,TRUE,Actu,Droite - Extrême Droite,1978,TRUE,TRUE,|||,||||,NaN,6.192,6.747,3.683,5.521,7.039
392,Laviedesidees.fr,0.001267,"0,13409968",428468,TRUE,Actu,Gauche - Extrême Gauche,2007,FALSE,FALSE,|||,||||,NaN,4.099,5.839,5.37,7.594,3.788
393,Boursier.com,0.000629,"0,133892569",6554000,TRUE,Economie,Economique - Tech - Gaming,1998,TRUE,FALSE,|||,||||,Right Wing,5.536,5.613,5.358,6.9,5.351
394,Comicsblog.fr,0.000605,"0,133817792",813523,FALSE,BD,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,,,,,,
395,Lecafedugeek.fr,0.000319,"0,133220201",206956,FALSE,Technologie,Economique - Tech - Gaming,2012,TRUE,FALSE,|||,||||,,,,,,
396,Israel247.org,0.000282,"0,131421444",519472,TRUE,Actu,Droite - Extrême Droite,2021,FALSE,FALSE,|||,||||,NaN,6.136,8.313,1.674,3.986,8.213
397,Madeinmarseille.net,0.000524,"0,1314024",887665,TRUE,Actu_Locale,PQR - Sport - Météo,2014,TRUE,TRUE,|||,||||,NaN,5.257,5.02,6.075,7.482,4.654
398,Beauxarts.com,0.000396,"0,131303598",1167000,FALSE,Culture,Gauche - Extrême Gauche,,TRUE,TRUE,|||,||||,NaN,5.127,5.158,5.927,7.503,4.59
399,Linforme.com,0.002547,"0,130865656",966444,TRUE,Economie,Economique - Tech - Gaming,2022,TRUE,TRUE,|||,||||,NaN,4.993,5.838,5.179,7.112,4.846
400,Legeneraliste.fr,0.000452,"0,130702104",5000,TRUE,Santé,Extrême Droite - Réinformation,1975,TRUE,FALSE,|||,||||,,,,,,
401,60Millions-Mag.com,0.002473,"0,130627605",2651000,TRUE,Consommation,Lifestyle – Santé – TV,1970,TRUE,FALSE,|||,||||,Hyper-centre,4.953,6.208,4.718,6.745,5.105
402,Lequotidien.re,0.000287,"0,130503744",260361,TRUE,Actu_Locale,Extrême Droite - Réinformation,1976,TRUE,TRUE,|||,||||,,,,,,
403,Freelanceinfos.fr,0.000259,"0,129079212",101278,FALSE,Lifestyle,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,NaN,5.427,8.168,2.094,4.705,7.132
404,Foot-National.com,0.000621,"0,128867149",6699000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
405,Franceantilles.fr,0.000672,"0,128715043",1708000,TRUE,Actu_Locale,Gauche - Extrême Gauche,1964,TRUE,TRUE,NJJ|Fonds pour l'indépendance de la presse||,Xavier Niel||||,,,,,,
406,Neonmag.fr,0.001083,"0,127751523",136367,FALSE,Lifestyle,Lifestyle – Santé – TV,,TRUE,TRUE,Prisma Media|Vivendi||,Vincent Bolloré||||,,,,,,
407,Cyclismactu.net,0.000396,"0,127548749",7440000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
408,Quechoisir.org,0.006675,"0,127518092",19090000,TRUE,Consommation,Economique - Tech - Gaming,1961,TRUE,TRUE,|||,||||,IT & Consumer,4.898,6.001,5.023,7.016,4.823
409,Economiematin.fr,0.000488,"0,127514947",1387000,TRUE,Economie,Economique - Tech - Gaming,2012,TRUE,TRUE,|||,||||,NaN,5.864,6.071,4.615,6.391,6.11
410,Nova.fr,0.000936,"0,127489812",1185000,FALSE,Musique,Gauche - Extrême Gauche,,FALSE,FALSE,Combat Solutions|||,Matthieu Pigasse||||,NaN,4.27,5.765,5.46,7.444,3.919
411,Thinkerview.com,0.000288,"0,126948454",161200,TRUE,Actu,Extrême Droite - Réinformation,2013,FALSE,FALSE,|||,||||,,,,,,
412,Vakita.fr,0.000319,"0,126244601",111060,FALSE,Animaux,Divers,,FALSE,FALSE,|||,||||,,,,,,
413,Philomag.com,0.001101,"0,125912886",1461000,FALSE,Culture,Gauche - Extrême Gauche,,TRUE,TRUE,|||,||||,NaN,4.662,5.605,5.586,7.42,4.261
414,Aphadolie.com,0.000295,"0,125840206",24896,TRUE,Actu,Extrême Droite - Réinformation,2017,FALSE,FALSE,|||,||||,,,,,,
415,Lephoceen.fr,0.000596,"0,125629977",14850000,TRUE,Actu_Locale,PQR - Sport - Météo,2008,FALSE,FALSE,|||,||||,,,,,,
416,Ecranlarge.com,0.000844,"0,123250532",10790000,FALSE,Culture,Lifestyle – Santé – TV,2004,TRUE,FALSE,|||,||||,,,,,,
417,Baz-Art.org,0.000258,"0,123195513",72099,FALSE,Culture,Divers,,FALSE,FALSE,|||,||||,,,,,,
418,Lechodelaboucle.fr,0.000258,"0,123073828",26385,TRUE,Actu_Locale,PQR - Sport - Météo,2014,FALSE,FALSE,|||,||||,,,,,,
419,Bsmart.fr,0.000436,"0,122700125",105794,TRUE,Actu,Lifestyle – Santé – TV,2020,FALSE,FALSE,|||,||||,NaN,6.042,4.004,7.307,7.972,4.763
420,Lanceuralerte.org,0.000267,"0,121998976",14465,TRUE,Actu,Divers,2018,FALSE,FALSE,|||,||||,,,,,,
421,Webgirondins.com,0.000323,"0,121960414",1942000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
423,Automobile-Propre.com,0.001058,"0,121558593",8842000,FALSE,Transports,Economique - Tech - Gaming,,TRUE,FALSE,|||,||||,NaN,5.641,6.138,4.604,6.353,5.907
425,Lsa-Conso.fr,0.00345,"0,119877442",1631000,TRUE,Consommation,Economique - Tech - Gaming,1958,TRUE,FALSE,|||,||||,IT & Consumer,5.75,4.364,6.876,7.802,4.709
426,Coinacademy.fr,0.000326,"0,119872759",725729,TRUE,Economie,Economique - Tech - Gaming,2021,FALSE,FALSE,|||,||||,,,,,,
427,Linfo.re,0.000304,"0,118963114",3665000,TRUE,Actu_Locale,Lifestyle – Santé – TV,2009,TRUE,TRUE,|||,||||,NaN,5.263,6.34,4.518,6.476,5.522
428,Cahiers-Pedagogiques.com,0.000299,"0,118743394",106989,FALSE,Education,Gauche - Extrême Gauche,,FALSE,FALSE,|||,||||,,,,,,
429,Mac4Ever.com,0.000358,"0,118445307",2157000,FALSE,Technologie,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,,,,,,
430,Transitionsenergies.com,0.000327,"0,118120126",201185,TRUE,Ecologie,Economique - Tech - Gaming,2019,FALSE,FALSE,|||,||||,NaN,5.937,5.629,5.225,6.741,5.841
431,Lafranceliberee.fr,0.000258,"0,116467295",5000,TRUE,Actu,Droite - Extrême Droite,2019,FALSE,FALSE,|||,||||,,,,,,
432,Gameblog.fr,0.000647,"0,116299481",11170000,FALSE,Jeux_Vidéo,Economique - Tech - Gaming,,TRUE,FALSE,|||,||||,,,,,,
433,Leblogalupus.com,0.000341,"0,116246938",9814,TRUE,Actu,Extrême Droite - Réinformation,2009,FALSE,FALSE,|||,||||,Revolutionary Right,5.887,8.28,1.739,4.177,7.835
434,Christec.net,0.000258,"0,116026048",10891,FALSE,Technologie,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,,,,,,
435,Yetiblog.org,0.000284,"0,115256052",5000,TRUE,Actu,Extrême Droite - Réinformation,2005,FALSE,FALSE,|||,||||,Right Wing,5.312,7.973,2.362,4.981,6.789
436,Jeuxactu.com,0.000432,"0,114037273",999191,FALSE,Jeux_Vidéo,Lifestyle – Santé – TV,,TRUE,FALSE,|||,||||,,,,,,
437,Arteradio.com,0.007043,"0,113709728",700504,FALSE,Culture,Gauche - Extrême Gauche,,FALSE,FALSE,|||,||||,NaN,3.999,6.393,4.855,7.247,3.903
438,Sciencepost.fr,0.000618,"0,113521392",5176000,FALSE,Sciences,Divers,2014,FALSE,FALSE,|||,||||,Leisure and Health,5.178,6.247,4.611,6.557,5.363
439,Contexte.com,0.000991,"0,113352329",210231,TRUE,Ecologie,Divers,2013,TRUE,TRUE,|||,||||,,,,,,
440,Hospimedia.fr,0.000294,"0,112774012",220481,TRUE,Santé,Divers,2002,TRUE,FALSE,|||,||||,NaN,5.72,4.311,6.895,7.923,4.664
441,Operanewsapp.com,0.000265,"0,112366667",5867000,TRUE,Actu,Extrême Droite - Réinformation,2019,FALSE,FALSE,|||,||||,NaN,5.667,7.264,3.228,5.339,6.743
442,Athletv.fr,0.000285,"0,112319968",69823,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
443,Xavier-Bazin.fr,0.000278,"0,112295943",127529,FALSE,Santé,Extrême Droite - Réinformation,,FALSE,FALSE,|||,||||,NaN,5.703,8.554,1.446,4.164,7.764
444,Mediabask.eus,0.000574,"0,112153018",213884,TRUE,Actu_Locale,Gauche - Extrême Gauche,2015,TRUE,TRUE,|||,||||,,,,,,
445,Foot01.com,0.000408,"0,112004728",44330000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
446,Lafranceagricole.fr,0.000812,"0,111658459",1377000,TRUE,Agriculture,Extrême Droite - Réinformation,1983,TRUE,TRUE,|||,||||,NaN,5.657,4.627,6.572,7.669,4.767
447,Legrandsoir.info,0.000413,"0,111190451",145991,TRUE,Actu,Gauche - Extrême Gauche,2008,FALSE,FALSE,|||,||||,Right Wing,4.198,7.772,2.956,6.056,5.196
448,Franceguyane.fr,0.001247,"0,110589771",755952,TRUE,Actu_Locale,Divers,1973,TRUE,TRUE,NJJ|Fonds pour l'indépendance de la presse||,Xavier Niel||||,,,,,,
449,Tropiquesfm.com,0,"0,110372948",37591,FALSE,Musique,Divers,,FALSE,FALSE,|||,||||,,,,,,
451,Whatsupdoc-Lemag.fr,0.000483,"0,109993091",314639,TRUE,Santé,Divers,2012,FALSE,FALSE,|||,||||,NaN,5.551,5.238,5.748,7.227,5.131
452,Contre-Attaque.net,0.000285,"0,109883488",853898,TRUE,Actu,Gauche - Extrême Gauche,2012,FALSE,FALSE,|||,||||,NaN,3.273,7.503,3.696,7.029,3.712
453,Fredzone.org,0.000624,"0,109274914",911376,FALSE,Technologie,Economique - Tech - Gaming,2005,FALSE,FALSE,|||,||||,,,,,,
454,Equinoxmagazine.fr,0.000339,"0,108831923",1046000,TRUE,Actu_Locale,Gauche - Extrême Gauche,2011,TRUE,TRUE,|||,||||,NaN,5.041,6.384,4.443,6.571,5.37
455,Lemessager.fr,0.00035,"0,1086351",4388000,TRUE,Actu_Locale,PQR - Sport - Météo,1898,TRUE,TRUE,La Voix du Nord SA|Groupe Rossel La Voix||,Famille Hurbain|Crédit agricole|||,NaN,5.523,6.466,4.175,6.177,5.995
456,Maxifoot.fr,0.000441,"0,108059526",47420000,FALSE,Sport,PQR - Sport - Météo,,TRUE,FALSE,|||,||||,,,,,,
457,Mariefrance.fr,0.000748,"0,106804895",39570000,FALSE,Lifestyle,Lifestyle – Santé – TV,1944,TRUE,FALSE,|||,||||,Leisure and Health,5.491,7.467,2.983,5.247,6.726
458,Caradisiac.com,0.000874,"0,10587525",32000000,FALSE,Transports,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,,,,,,
459,Radioneo.org,0.000258,"0,105665115",5000,FALSE,Musique,Gauche - Extrême Gauche,,FALSE,FALSE,|||,||||,,,,,,
460,Dailygeekshow.com,0.00039,"0,10450721",1471000,FALSE,Technologie,Economique - Tech - Gaming,2010,FALSE,FALSE,|||,||||,Leisure and Health,5.374,6.182,4.689,6.524,5.551
461,Vududroit.com,0.00034,"0,104317582",137984,TRUE,Actu,Extrême Droite - Réinformation,2012,FALSE,FALSE,|||,||||,NaN,5.397,7.951,2.342,4.985,6.916
